,Name,Gender,DOB,Occupation,Block/Village,District/city,State,PIN,NomineeName,NomineeRelation,NomineeAge,PolicyId,Insurer,Typeofcover,EffectiveDate,ExpiryDate,PremiumRate,PremiumMode,PolicyName,InsuranceCompany
11,ANNEPU CHANDRAS,Male,6/15/1980,other-service,sunari,Hyderabad,Andhra Pradesh,803107,noone,protective-serv,27,11,Rahul,life insurance for one person,2/2/2001,7/7/2020,7.5%,offline,Life Uday,ICICI Prudential Life Insurance Co. Ltd
12,Karthik Arthapa,Male,8/15/1979,priv-house-serv,dhola,Tiruchchirapalli,Tamil Nadu,733156,noone,priv-house-serv,43,12,Rahul,life insurance for one person,5/29/1992,7/7/2020,5%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
13,VYANKATESH KULK,Male,11/14/1966,exec-managerial,chiplun,Pune,Maharashtra,413532,noone,transport-moving,45,13,Rahul,life insurance for one person,1/7/2011,7/7/2020,7.5%,online,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
14,ABHAS BAJPAI,Male,1/26/1975,machine-op-inspct,harali,Kanpur,Uttar Pradesh,389115,noone,adm-clerical,30,14,Rahul,life insurance for one person,12/6/1995,7/7/2020,5%,offline,term insurance with return,Life Insurance Corporation of India
15,laxminarayana a,Male,4/10/1977,machine-op-inspct,chamrauli,Vishakapatnam,Andhra Pradesh,678581,noone,sales,36,15,Ankit,life insurance for one person,4/21/2003,7/7/2020,5%,offline,aadhar shila,Max Life Insurance Co. Ltd.
16,aadi jain,Male,5/14/1978,transport-moving,Ajhai,Modinagar,Uttar Pradesh,228001,noone,sales,32,16,Praveen,life insurance for one person,6/30/2004,7/7/2020,7.5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
17,aakash yadav,Male,1/17/1991,armed-forces,Ajhai,Jaipur,Rajasthan,765013,noone,protective-serv,39,17,Praveen,life insurance for one person,1/26/1996,7/7/2020,6%,online,Sampoorna samridhi plus,Max Life Insurance Co. Ltd.
18,AAKASH SHAH,Male,6/6/1983,transport-moving,koraon,Surat,Gujarat,415712,noone,prof-specialty,58,18,Ankit,life insurance for one person,1/10/2012,7/7/2020,6%,online,aadhar shila,Max Life Insurance Co. Ltd.
19,aakash kumar,Male,12/30/1985,priv-house-serv,amarpura,Kanpur,Uttar Pradesh,642205,noone,tech-support,45,19,suraj,life insurance for one person,7/11/2007,7/7/2020,6%,offline,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
20,Chaitali Biswas,Female,1/15/1983,machine-op-inspct,Achhnera,Kolkata,West Bengal,360030,noone,handlers-cleaners,25,20,Rahul,life insurance for one person,8/22/1991,7/7/2020,7.5%,online,Sampoorna samridhi plus,ICICI Prudential Life Insurance Co. Ltd
21,AALIYA ZARRIN,Female,8/24/1982,craft-repair,sadarban,Hyderabad,Andhra Pradesh,443401,noone,protective-serv,34,21,Ankit,life insurance for one person,4/14/1992,7/7/2020,5%,offline,term insurance with return,ICICI Prudential Life Insurance Co. Ltd
22,AAMIR TAUQEER,Male,5/9/1981,adm-clerical,shrirampur,Kurnool,Andhra Pradesh,303511,noone,armed-forces,34,22,Ankit,life insurance for one person,3/29/2004,7/7/2020,6%,online,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
23,aanchal trivedi,female,8/28/1986,other-service,karjat,Shahjahanpur,Uttar Pradesh,734003,noone,sales,45,23,Rahul,life insurance for one person,11/25/2006,7/7/2020,5%,offline,term insurance with return,Bajaj Allianz Life Insurance Co. Ltd.
24,anjaneyulu k,Male,4/1/1981,transport-moving,akole,kadiri,Andhra Pradesh,754246,noone,handlers-cleaners,34,24,suraj,life insurance for one person,4/7/1992,7/7/2020,7.5%,offline,sanchay,Max Life Insurance Co. Ltd.
25,aarthi srivaths,Female,10/4/1988,prof-specialty,albatia,Chennai,Tamil Nadu,531118,noone,machine-op-inspct,55,25,suraj,life insurance for one person,6/17/2009,7/7/2020,7.5%,online,Health insurance plan,Life Insurance Corporation of India
26,Aarti Gupta,female,12/7/1980,transport-moving,kandhar,Hyderabad,Andhra Pradesh,584118,noone,machine-op-inspct,32,26,Praveen,life insurance for one person,11/8/2009,7/7/2020,7.5%,offline,term insurance with return,Max Life Insurance Co. Ltd.
27,ARUN SARASWAT,Male,5/7/1979,priv-house-serv,rajpur,Agra,Uttar Pradesh,852111,noone,transport-moving,44,27,Ajay,life insurance for one person,6/17/2005,7/7/2020,7.5%,offline,Sampoorna samridhi plus,Life Insurance Corporation of India
28,ARUN PRABHAKAR,Male,6/17/1989,adm-clerical,manda,Madurai,Tamil Nadu,333012,noone,sales,34,28,Rahul,life insurance for one person,7/4/2013,7/7/2020,7.5%,offline,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
29,arun kumar gund,Male,10/17/1986,other-service,chandarpur,Secunderabad,Andhra Pradesh,515408,noone,prof-specialty,34,29,Ankit,life insurance for one person,1/13/1991,7/7/2020,5%,online,jeevan umang,Max Life Insurance Co. Ltd.
30,ASHISH KUMAR,Male,8/2/1990,craft-repair,nunhai,Bhagalpur,Bihar,176090,noone,armed-forces,58,30,Ankit,life insurance for one person,5/8/2005,7/7/2020,5%,offline,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
31,ASHA SHRIDHAR,Female,4/1/1963,machine-op-inspct,deola,Bhopal,Madhya Pradesh,624601,noone,other-service,25,31,suraj,life insurance for one person,12/28/2004,7/7/2020,5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
32,Aathira Raveend,Female,1/20/1986,priv-house-serv,nunhai,Kottayam,Kerala,722161,noone,tech-support,33,32,Ajay,life insurance for one person,5/28/2014,7/7/2020,7.5%,online,jeevan umang,Life Insurance Corporation of India
33,PINKY VERMA,female,7/14/1981,protective-serv,lakhandur,Chennai,Tamil Nadu,785685,noone,protective-serv,28,33,suraj,life insurance for one person,12/4/2007,7/7/2020,7.5%,online,Life Uday,Max Life Insurance Co. Ltd.
34,GIRIDHAR A,Male,1/9/1974,transport-moving,Amgaon,Vijayawada,Andhra Pradesh,148026,noone,machine-op-inspct,31,34,Ajay,life insurance for one person,12/9/2006,7/7/2020,6%,online,jeevan labh,Life Insurance Corporation of India
35,GIRIDHAR A,Male,1/9/1974,machine-op-inspct,parner,Vijayawada,Andhra Pradesh,535527,noone,exec-managerial,43,35,Rahul,life insurance for one person,6/4/1996,7/7/2020,6%,offline,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
36,Raziul Abbasi,Male,7/4/1979,transport-moving,Etapalli,Lucknow,Uttar Pradesh,845453,noone,sales,38,36,Ankit,life insurance for one person,1/2/1991,7/7/2020,7.5%,online,jeevan labh,Life Insurance Corporation of India
37,shivajee shivaj,Male,12/14/1981,armed-forces,jonai,Bokaro,Jharkhand,581112,noone,craft-repair,29,37,Ajay,life insurance for one person,8/28/1995,7/7/2020,5%,online,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
38,SEA BREEZE,Male,12/31/1987,other-service,jintur,Chennai,Tamil Nadu,604406,noone,handlers-cleaners,46,38,Ankit,life insurance for one person,3/18/1990,7/7/2020,7.5%,online,jeevan umang,HDFC Life Insurance Co. Ltd
39,abdul sajid,Male,7/15/1986,armed-forces,sadarban,Hyderabad,Andhra Pradesh,190002,noone,sales,44,39,Ankit,life insurance for one person,3/11/1996,7/7/2020,7.5%,online,sanchay,ICICI Prudential Life Insurance Co. Ltd
40,abdulla mohamed,Male,9/27/1981,craft-repair,dhola,ariyalur,Tamil Nadu,151208,noone,priv-house-serv,27,40,Rahul,life insurance for one person,12/13/1993,7/7/2020,5%,online,jeevan labh,Life Insurance Corporation of India
41,Abdul Aziz Khan,Male,2/26/1984,transport-moving,dhanupur,Mumbai,Maharashtra,322238,noone,tech-support,31,41,Rahul,life insurance for one person,11/15/2000,7/7/2020,7.5%,online,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
42,ABDUL RAHMAN,Male,5/15/1985,transport-moving,Amgaon,Hyderabad,Andhra Pradesh,572213,noone,prof-specialty,33,42,Rahul,life insurance for one person,11/20/2005,7/7/2020,5%,online,term insurance with return,Max Life Insurance Co. Ltd.
43,abdul jabbar,Male,5/1/1989,prof-specialty,Ajhai,Kolkata,West Bengal,852114,noone,machine-op-inspct,35,43,suraj,life insurance for one person,8/13/2004,7/7/2020,6%,offline,Sampoorna samridhi plus,Life Insurance Corporation of India
44,abdul karim,Male,5/5/1984,priv-house-serv,Etapalli,kumarbagh,Bihar,361140,noone,machine-op-inspct,37,44,Ajay,life insurance for one person,8/25/2011,7/7/2020,7.5%,offline,Pru Signature,Life Insurance Corporation of India
45,ABDUL RAHIM SHA,Male,8/31/1985,sales,pratappur,solapur,Maharashtra,804432,noone,prof-specialty,36,45,suraj,life insurance for one person,4/12/2013,7/7/2020,5%,offline,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
46,Abdul Rahman,Male,1/8/1985,other-service,himayatnagar,Lucknow,Uttar Pradesh,814115,noone,sales,31,46,Praveen,life insurance for one person,10/11/2003,7/7/2020,6%,offline,term insurance with return,Max Life Insurance Co. Ltd.
47,abdul sattar,Male,1/30/1974,prof-specialty,khalapur,Vijayawada,Andhra Pradesh,788161,noone,sales,48,47,Praveen,life insurance for one person,5/15/2000,7/7/2020,7.5%,offline,Sampoorna samridhi plus,Life Insurance Corporation of India
48,abdur rahim,Male,5/17/1986,machine-op-inspct,jiwati,Kolkata,West Bengal,416204,noone,tech-support,49,48,Ankit,life insurance for one person,11/6/2013,7/7/2020,7.5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
49,ABDUS SHAMEEM,Male,8/14/1973,transport-moving,chambal,Chennai,Tamil Nadu,122102,noone,machine-op-inspct,43,49,Ankit,life insurance for one person,4/10/1996,7/7/2020,5%,offline,Health insurance plan,Max Life Insurance Co. Ltd.
50,abeer bharti,Male,10/28/1991,tech-support,Amravati,Gwalior,Madhya Pradesh,389154,noone,other-service,42,50,Ajay,life insurance for one person,11/20/1991,7/7/2020,6%,online,Pru Signature,Bajaj Allianz Life Insurance Co. Ltd.
51,murugappan g,Male,11/2/1984,sales,alikha,Chennai,Tamil Nadu,382433,noone,prof-specialty,46,51,Ankit,life insurance for one person,5/16/2008,7/7/2020,5%,online,jeevan umang,ICICI Prudential Life Insurance Co. Ltd
52,ABHAS SUREKA,Male,9/4/1983,protective-serv,himayatnagar,Pune,Maharashtra,385310,noone,other-service,59,52,Ajay,life insurance for one person,3/25/2007,7/7/2020,6%,online,jeevan umang,Bajaj Allianz Life Insurance Co. Ltd.
53,abhay joshi,Male,6/2/1985,machine-op-inspct,jasra,Kanpur,Uttar Pradesh,132107,noone,protective-serv,43,53,Rahul,life insurance for one person,5/20/1990,7/7/2020,6%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
54,ABHAY KUMAR,Male,12/25/1987,transport-moving,dehtora,Patna,Bihar,493332,noone,protective-serv,51,54,Rahul,life insurance for one person,4/15/2013,7/7/2020,5%,offline,sanchay,Bajaj Allianz Life Insurance Co. Ltd.
55,abhay singh,Male,9/10/1983,protective-serv,kandhar,ramgarh,Jharkhand,811213,noone,armed-forces,28,55,Ajay,life insurance for one person,1/16/1996,7/7/2020,7.5%,offline,term insurance with return,HDFC Life Insurance Co. Ltd
56,abhay kumar,Male,6/10/1986,prof-specialty,chambal,Vishakapatnam,Andhra Pradesh,271202,noone,adm-clerical,29,56,Ankit,life insurance for one person,6/16/2003,7/7/2020,5%,offline,Life Uday,Life Insurance Corporation of India
57,Abhay Vaidya,Male,2/8/1982,adm-clerical,shevgaon,Pune,Maharashtra,303327,noone,prof-specialty,38,57,Rahul,life insurance for one person,11/7/2008,7/7/2020,6%,offline,term insurance with return,ICICI Prudential Life Insurance Co. Ltd
58,Abhay Singh,Male,7/8/1976,protective-serv,kudal,Thane,Maharashtra,380027,noone,machine-op-inspct,32,58,Ankit,life insurance for one person,7/14/1997,7/7/2020,5%,offline,Health insurance plan,HDFC Life Insurance Co. Ltd
59,ABHAYA PRAKASH,Male,8/1/1961,protective-serv,chalsigaon,Patna,Bihar,175134,noone,adm-clerical,37,59,Ankit,life insurance for one person,4/28/1992,7/7/2020,7.5%,offline,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
60,white dog,Male,11/21/1983,prof-specialty,amarpura,Jhansi,Uttar Pradesh,835212,noone,exec-managerial,28,60,Ankit,life insurance for one person,6/27/1996,7/7/2020,6%,online,term insurance with return,ICICI Prudential Life Insurance Co. Ltd
61,Abhay Asati,Male,8/3/1983,machine-op-inspct,chaka,Raipur,Chhatisgarh,767017,noone,prof-specialty,42,61,Rahul,life insurance for one person,6/17/2008,7/7/2020,5%,offline,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
62,abhay soni,Male,4/25/1985,craft-repair,bada,Jabalpur,Madhya Pradesh,136135,noone,tech-support,46,62,Ankit,life insurance for one person,6/6/1993,7/7/2020,7.5%,online,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
63,ABHEESHEK BATHI,Male,3/8/1988,protective-serv,rahata,Coimbatore,Tamil Nadu,224202,noone,protective-serv,36,63,Ajay,life insurance for one person,1/8/1994,7/7/2020,6%,online,Sampoorna samridhi plus,Max Life Insurance Co. Ltd.
64,ABHIJIT BANERJE,Male,2/9/1975,priv-house-serv,lakhandur,Raipur,Chhatisgarh,846002,noone,priv-house-serv,39,64,suraj,life insurance for one person,3/19/1992,7/7/2020,6%,offline,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
65,Abhjith Komarla,Male,2/14/1986,transport-moving,baad,Bangalore,Karnataka,802158,noone,prof-specialty,28,65,Rahul,life insurance for one person,8/21/2010,7/7/2020,5%,online,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
66,ABHISHEK MUKHER,Male,4/22/1984,prof-specialty,dhanupur,Ranchi,Jharkhand,248143,noone,machine-op-inspct,38,66,Rahul,life insurance for one person,9/26/1991,7/7/2020,7.5%,offline,jeevan anand,HDFC Life Insurance Co. Ltd
67,abhi sonu,Male,10/13/1990,protective-serv,medhava,Muzaffarpur,Bihar,788727,noone,armed-forces,32,67,suraj,life insurance for one person,8/8/1994,7/7/2020,5%,online,Pru Signature,Bajaj Allianz Life Insurance Co. Ltd.
68,ABHISHEK KUMAR,Male,9/1/1986,handlers-cleaners,manda,Ranchi,Jharkhand,783345,noone,exec-managerial,30,68,Ankit,life insurance for one person,12/21/1996,7/7/2020,6%,offline,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
69,abhishek kumar,Male,1/12/1984,armed-forces,wasunde,Lucknow,Uttar Pradesh,322025,noone,machine-op-inspct,43,69,Praveen,life insurance for one person,10/14/1992,7/7/2020,7.5%,online,Life Uday,Max Life Insurance Co. Ltd.
70,Abraham Vimal K,Male,9/16/1986,priv-house-serv,azizpur,Melpattambakkam,Tamil Nadu,173211,noone,tech-support,34,70,suraj,life insurance for one person,8/5/1992,7/7/2020,5%,online,Sampoorna samridhi plus,Life Insurance Corporation of India
71,abhishek yadav,Male,10/9/1990,tech-support,pathardi,faizabad,Uttar Pradesh,210125,noone,prof-specialty,43,71,Rahul,life insurance for one person,4/4/1992,7/7/2020,5%,offline,jeevan umang,Life Insurance Corporation of India
72,abhishek prakas,Male,3/16/1987,craft-repair,sadarban,Chennai,Tamil Nadu,509371,noone,prof-specialty,36,72,Praveen,life insurance for one person,2/16/2001,7/7/2020,5%,offline,jeevan labh,Max Life Insurance Co. Ltd.
73,ABHISHEK MISHRA,Male,12/3/1981,craft-repair,rahata,Lucknow,Uttar Pradesh,731234,noone,protective-serv,39,73,Praveen,life insurance for one person,4/13/2003,7/7/2020,7.5%,offline,sampoorna nivesh,Max Life Insurance Co. Ltd.
74,ABHISHEK KEDIA,Male,5/16/1978,priv-house-serv,ghatanji,Bangalore,Karnataka,326023,noone,transport-moving,36,74,suraj,life insurance for one person,1/4/2009,7/7/2020,7.5%,online,aadhar shila,Max Life Insurance Co. Ltd.
75,ABHILASHA SINHA,Female,2/6/1978,transport-moving,sadarban,Hyderabad,Andhra Pradesh,721431,noone,handlers-cleaners,43,75,Rahul,life insurance for one person,9/7/2006,7/7/2020,5%,offline,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
76,abhi raj,Male,4/25/1980,farming-fishing,jamkhed,Kolkata,West Bengal,175012,noone,other-service,33,76,Praveen,life insurance for one person,1/18/1997,7/7/2020,6%,online,Life Uday,HDFC Life Insurance Co. Ltd
77,Abhishek Saxena,Male,11/12/1981,machine-op-inspct,nunhai,Jaipur,Rajasthan,843314,noone,adm-clerical,40,77,Ajay,life insurance for one person,3/18/2003,7/7/2020,6%,offline,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
78,ABHIJIT GHOSH,Male,12/15/1983,prof-specialty,korchi,Howrah,West Bengal,205265,noone,exec-managerial,30,78,Rahul,life insurance for one person,12/20/1990,7/7/2020,6%,online,Life Uday,Max Life Insurance Co. Ltd.
79,Abhishek Singh,Male,7/19/1985,other-service,khalapur,Ranchi,Jharkhand,522615,noone,armed-forces,45,79,Ajay,life insurance for one person,5/4/2000,7/7/2020,7.5%,online,Term Insurance,Life Insurance Corporation of India
80,ABHISHEK SHARMA,Male,1/22/1978,machine-op-inspct,ghatanji,Nagpur,Maharashtra,341022,noone,exec-managerial,31,80,Praveen,life insurance for one person,2/20/2009,7/7/2020,5%,offline,sanchay,HDFC Life Insurance Co. Ltd
81,Abhijit Talukda,Male,11/27/1985,machine-op-inspct,amalner,Chennai,Tamil Nadu,762012,noone,transport-moving,27,81,Ajay,life insurance for one person,2/8/1990,7/7/2020,5%,offline,aadhar shila,Bajaj Allianz Life Insurance Co. Ltd.
82,Ankit Pandey,Male,7/1/1983,transport-moving,deglur,Jabalpur,Madhya Pradesh,480111,noone,machine-op-inspct,37,82,Praveen,life insurance for one person,2/14/1996,7/7/2020,7.5%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
83,abhilash poovar,Male,4/2/1983,exec-managerial,Amravati,Kozhikode,Kerala,363745,noone,other-service,29,83,Praveen,life insurance for one person,3/20/1991,7/7/2020,7.5%,online,sampoorna nivesh,HDFC Life Insurance Co. Ltd
84,abhishek mishra,Male,11/13/1986,protective-serv,kagal,Bilaspur,Chhatisgarh,364720,noone,transport-moving,40,84,Praveen,life insurance for one person,10/2/2003,7/7/2020,5%,online,Life Uday,Max Life Insurance Co. Ltd.
85,abhishek gupta,Male,3/4/1988,priv-house-serv,jaitpur kalan,New Delhi,Delhi,843111,noone,sales,29,85,Praveen,life insurance for one person,2/18/2000,7/7/2020,5%,online,Sampoorna samridhi plus,Bajaj Allianz Life Insurance Co. Ltd.
86,abhishek bandop,Male,10/14/1984,transport-moving,mandi,Hyderabad,Andhra Pradesh,124108,noone,priv-house-serv,38,86,Ankit,life insurance for one person,3/28/2001,7/7/2020,7.5%,offline,jeevan umang,HDFC Life Insurance Co. Ltd
87,abhijeet anand,Male,7/7/1987,armed-forces,Amravati,Varanasi,Uttar Pradesh,801306,noone,priv-house-serv,26,87,Praveen,life insurance for one person,11/6/2013,7/7/2020,5%,online,Life Uday,Max Life Insurance Co. Ltd.
88,KAMAL DAS,Male,12/15/1961,armed-forces,khalapur,Durg,Chhatisgarh,251306,noone,transport-moving,40,88,Ajay,life insurance for one person,1/29/1998,7/7/2020,6%,offline,sampoorna nivesh,Life Insurance Corporation of India
89,ABHIJIT BANIK,Male,2/1/1986,armed-forces,sunari,Silchar,Assam,413521,noone,transport-moving,49,89,Ankit,life insurance for one person,1/22/1993,7/7/2020,5%,online,sampoorna nivesh,ICICI Prudential Life Insurance Co. Ltd
90,ABHIJIT ANAND,Male,11/16/1987,sales,alikha,Pune,Maharashtra,203001,noone,exec-managerial,38,90,Praveen,life insurance for one person,2/27/2010,7/7/2020,7.5%,offline,Pru Signature,Max Life Insurance Co. Ltd.
91,Abhijit Ray,Male,3/20/1977,exec-managerial,Ajhai,Hyderabad,Andhra Pradesh,494331,noone,sales,26,91,Praveen,life insurance for one person,3/8/1998,7/7/2020,7.5%,online,Life Uday,Bajaj Allianz Life Insurance Co. Ltd.
92,abhijit basumal,Male,3/23/1989,armed-forces,kaij,Howrah,West Bengal,148020,noone,farming-fishing,43,92,Ajay,life insurance for one person,9/24/1992,7/7/2020,5%,online,jeevan anand,HDFC Life Insurance Co. Ltd
93,ABHIJIT SUR,Male,11/26/1963,adm-clerical,nunhai,Vishakapatnam,Andhra Pradesh,125054,noone,tech-support,37,93,Ankit,life insurance for one person,2/23/2014,7/7/2020,5%,offline,sanchay,ICICI Prudential Life Insurance Co. Ltd
94,ABHILASH SRIVAS,Male,4/10/1979,tech-support,jiwati,Chennai,Tamil Nadu,334603,noone,prof-specialty,56,94,suraj,life insurance for one person,11/25/2002,7/7/2020,5%,offline,sanchay,ICICI Prudential Life Insurance Co. Ltd
95,ABHILASH KR,Male,5/31/1979,priv-house-serv,dhola,Chennai,Tamil Nadu,175047,noone,protective-serv,37,95,Rahul,life insurance for one person,2/1/1990,7/7/2020,7.5%,online,Term Insurance,Life Insurance Corporation of India
96,ABHILASHA SINGH,female,6/27/1980,handlers-cleaners,dhanupur,Bokaro,Jharkhand,202001,noone,machine-op-inspct,34,96,Ajay,life insurance for one person,1/28/1993,7/7/2020,6%,offline,sanchay,Max Life Insurance Co. Ltd.
97,abhilash varghe,Male,5/29/1979,priv-house-serv,shevgaon,Kollam,Kerala,781365,noone,priv-house-serv,44,97,Ankit,life insurance for one person,6/22/1990,7/7/2020,6%,offline,sanchay,ICICI Prudential Life Insurance Co. Ltd
98,Abhilash Nair,Male,1/23/1984,handlers-cleaners,manda,Kottayam,Kerala,609703,noone,prof-specialty,34,98,Praveen,life insurance for one person,10/2/1997,7/7/2020,6%,online,sanchay,Life Insurance Corporation of India
99,Abhilash PM,Male,6/1/1985,adm-clerical,deglur,Kozhikode,Kerala,335023,noone,farming-fishing,33,99,Ankit,life insurance for one person,11/29/2001,7/7/2020,6%,online,aadhar shila,Max Life Insurance Co. Ltd.
100,ABHILASH MP,Male,6/1/1982,armed-forces,chaka,Trissur,Kerala,274604,noone,priv-house-serv,38,100,Rahul,life insurance for one person,8/18/2006,7/7/2020,5%,online,aadhar shila,HDFC Life Insurance Co. Ltd
101,ABHIMANYU SINGH,Male,9/27/1988,adm-clerical,kalamb,Jamshedpur,Jharkhand,261136,noone,handlers-cleaners,40,101,Ajay,life insurance for one person,5/1/1999,7/7/2020,7.5%,online,term insurance with return,Life Insurance Corporation of India
102,abhimanyu raj s,Male,8/2/1988,craft-repair,jasra,Bhopal,Madhya Pradesh,583284,noone,sales,42,102,Ankit,life insurance for one person,5/25/1990,7/7/2020,7.5%,online,aadhar shila,HDFC Life Insurance Co. Ltd
103,ABHINAV CHOURAS,Male,4/21/1984,prof-specialty,howra,malanjkhand,Madhya Pradesh,263626,noone,machine-op-inspct,42,103,Ajay,life insurance for one person,4/30/2006,7/7/2020,5%,offline,jeevan anand,Max Life Insurance Co. Ltd.
104,Abhinav Singh,Male,2/15/1986,prof-specialty,amarpura,Allahabad,Uttar Pradesh,460668,noone,priv-house-serv,43,104,Rahul,life insurance for one person,3/20/1991,7/7/2020,7.5%,offline,Sampoorna samridhi plus,HDFC Life Insurance Co. Ltd
105,abhinav goyal,Male,12/15/1982,priv-house-serv,kandhar,New Delhi,Delhi,471411,noone,adm-clerical,53,105,suraj,life insurance for one person,9/3/2013,7/7/2020,5%,offline,Term Insurance,HDFC Life Insurance Co. Ltd
106,ABHINAV JOHNSON,Male,5/27/1984,tech-support,kudal,Chennai,Kerala,796111,noone,tech-support,48,106,Ajay,life insurance for one person,3/16/2014,7/7/2020,6%,online,Pru Signature,Max Life Insurance Co. Ltd.
107,Abhinav Dua,Male,4/11/1987,tech-support,medhava,Yamunanagar,Haryana,229205,noone,priv-house-serv,35,107,Ajay,life insurance for one person,3/26/1990,7/7/2020,7.5%,offline,jeevan anand,Max Life Insurance Co. Ltd.
108,abhinav girish,Male,12/25/1981,machine-op-inspct,indapur,Ranchi,Jharkhand,321406,noone,tech-support,27,108,Praveen,life insurance for one person,8/25/2011,7/7/2020,7.5%,online,sampoorna nivesh,Bajaj Allianz Life Insurance Co. Ltd.
109,AbhinavaKalayan,Male,6/1/1984,prof-specialty,borivali,Nellore,Andhra Pradesh,571445,noone,protective-serv,35,109,Ankit,life insurance for one person,12/2/2012,7/7/2020,7.5%,offline,jeevan labh,ICICI Prudential Life Insurance Co. Ltd
110,ABHINAV PARIHAR,Male,9/11/1982,farming-fishing,albatia,New Delhi,Delhi,743442,noone,craft-repair,45,110,Ajay,life insurance for one person,2/27/2010,7/7/2020,5%,offline,Life Uday,Life Insurance Corporation of India
